protocol,num_cycles,mean,median,stddev,cv,max,min,q1,q3
upb_publish,100,186.0160440681038,185.7467474053319,1.1443556521166034,0.006151919087676299,188.8471685682864,184.74066263599522,185.4900831311681,186.11331444002138
nanopb_publish,100,335.9621680086768,336.67948797610353,2.4199437709849794,0.007203024630209196,339.50702452556396,330.32028304664726,333.860896423839,337.5137809837822
flatbuf_publish,100,261.6085421700471,262.22551171911493,3.2262217275698033,0.012332249172019544,268.07050890273933,255.66819893761425,258.78581587331,264.2838766043853
ros2_publish,100,213.61851064972117,213.38232125189137,4.320867417106205,0.020227027161477146,220.64035379313466,208.0941438170261,209.82002901966058,217.85704938890282
capnp_publish,1000,2170.753830049667,2149.8429994641638,33.49984258946045,0.015432354477842369,2221.6033350470607,2125.6764242254153,2145.9039734916455,2213.824014722204
proto2_publish,1000,1781.3027732476478,1779.5697582411583,14.78236463640225,0.008298625510727319,1804.7888052187723,1752.347750038598,1777.4717973253107,1783.5002938395598
proto3_publish,1000,1652.0607642579876,1657.6553645886875,19.006848655237707,0.011504933151641373,1682.920319041567,1611.1272373838285,1642.674350282222,1660.1450705642335
proto3_arena_publish,1000,1480.546346039264,1482.1203864939775,16.059318070942137,0.010846886430744832,1501.3576300507548,1429.9958135489383,1474.0723906578748,1493.199135415987
upb_publish,1000,1816.8029974942185,1822.1045014870108,12.754259997485397,0.007020166751748209,1828.6533023587506,1787.6797054537494,1807.3083156376929,1826.2572549468841
nanopb_publish,1000,3041.647526255825,3040.3147663986474,27.028746748783984,0.008886219233316473,3089.207306242826,2999.33814165885,3025.2682535271892,3062.875647293894
flatbuf_publish,1000,2582.515588923458,2561.5293297182666,37.318859758135574,0.014450584506904077,2642.0359274711745,2528.599203740797,2557.245772124223,2629.024831778941
ros2_publish,1000,2062.3917080635247,2056.066379990689,27.86014461247232,0.013508658177563904,2111.771772074145,2022.6087681082793,2043.703267740649,2085.8118700426676
capnp_publish,5000,10999.594615055965,11068.7989455003,131.3092689839752,0.011937646211456049,11111.861008864182,10573.394481952375,10910.760439359226,11078.277001014123
proto2_publish,5000,9093.268712361656,9048.12873938145,81.14712068401629,0.008923867010957513,9242.445994646121,8960.895049266326,9035.856295854617,9156.74368540446
proto3_publish,5000,8442.225624533261,8413.836535285502,72.01578355499134,0.008530426306744535,8585.374495562386,8337.733324836283,8395.39415696088,8509.616290821748
proto3_arena_publish,5000,7299.928665161134,7274.354497591656,81.65379746844235,0.01118556101214175,7438.84841601054,7173.282404740652,7253.957291444143,7374.914983908337
upb_publish,5000,9253.574884854832,9271.444418491463,80.26189494402301,0.008673609490683033,9332.137230115059,9020.615846682818,9231.3778706086,9314.503425206894
nanopb_publish,5000,15105.03043299136,15079.135480134382,100.33684388247819,0.006642611170337626,15224.886977154274,14897.512352984882,15033.011851103409,15204.289685124937
flatbuf_publish,5000,12790.364382559794,12744.087921945671,114.34326613298217,0.00893979739067435,13071.40735157749,12584.62353756553,12710.56710628041,12874.189176057514
ros2_publish,5000,10304.613253649546,10282.081716200886,176.52694818628513,0.017130865937522232,10868.542334612677,10045.202339396757,10201.955542844886,10419.452891630286
